LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,EMPLOYEE,PC,A,1975,21.58273381,
AUS,WAGEGAP,EMPLOYEE,PC,A,1976,20.75471698,
AUS,WAGEGAP,EMPLOYEE,PC,A,1977,18.3908046,
AUS,WAGEGAP,EMPLOYEE,PC,A,1978,19.79166667,
AUS,WAGEGAP,EMPLOYEE,PC,A,1979,20,
AUS,WAGEGAP,EMPLOYEE,PC,A,1980,18.75,
AUS,WAGEGAP,EMPLOYEE,PC,A,1981,18.25396825,
AUS,WAGEGAP,EMPLOYEE,PC,A,1982,20.81911263,
AUS,WAGEGAP,EMPLOYEE,PC,A,1983,19.15584416,
AUS,WAGEGAP,EMPLOYEE,PC,A,1984,18.6746988,
AUS,WAGEGAP,EMPLOYEE,PC,A,1985,19.60784314,
AUS,WAGEGAP,EMPLOYEE,PC,A,1986,18.84816754,
AUS,WAGEGAP,EMPLOYEE,PC,A,1987,18.51851852,
AUS,WAGEGAP,EMPLOYEE,PC,A,1988,18.79350348,
AUS,WAGEGAP,EMPLOYEE,PC,A,1989,18.58974359,
AUS,WAGEGAP,EMPLOYEE,PC,A,1990,18.18181818,
AUS,WAGEGAP,EMPLOYEE,PC,A,1991,16.015625,
AUS,WAGEGAP,EMPLOYEE,PC,A,1992,14.25855513,
AUS,WAGEGAP,EMPLOYEE,PC,A,1993,13.22463768,
AUS,WAGEGAP,EMPLOYEE,PC,A,1994,14.40972222,
AUS,WAGEGAP,EMPLOYEE,PC,A,1995,14.47811448,
AUS,WAGEGAP,EMPLOYEE,PC,A,1997,15.25423729,
AUS,WAGEGAP,EMPLOYEE,PC,A,1998,13.24200913,
AUS,WAGEGAP,EMPLOYEE,PC,A,1999,14.28571429,
AUS,WAGEGAP,EMPLOYEE,PC,A,2000,17.2,
AUS,WAGEGAP,EMPLOYEE,PC,A,2001,14.34210526,
AUS,WAGEGAP,EMPLOYEE,PC,A,2002,15,
AUS,WAGEGAP,EMPLOYEE,PC,A,2003,13.04347826,
AUS,WAGEGAP,EMPLOYEE,PC,A,2004,14.35294118,
AUS,WAGEGAP,EMPLOYEE,PC,A,2005,15.77777778,
AUS,WAGEGAP,EMPLOYEE,PC,A,2006,16.66666667,
AUS,WAGEGAP,EMPLOYEE,PC,A,2007,15.4,
AUS,WAGEGAP,EMPLOYEE,PC,A,2008,11.93737769,
AUS,WAGEGAP,EMPLOYEE,PC,A,2009,16.36363636,
AUS,WAGEGAP,EMPLOYEE,PC,A,2010,14.04293381,
AUS,WAGEGAP,EMPLOYEE,PC,A,2011,15.96638656,
AUS,WAGEGAP,EMPLOYEE,PC,A,2012,13.75,
AUS,WAGEGAP,EMPLOYEE,PC,A,2013,18,
AUS,WAGEGAP,EMPLOYEE,PC,A,2014,15.77335375,
AUS,WAGEGAP,EMPLOYEE,PC,A,2015,13.30769231,
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,13.72843211,
AUS,WAGEGAP,EMPLOYEE,PC,A,2017,13.00094822,
AUS,WAGEGAP,EMPLOYEE,PC,A,2018,13.44856744,
AUS,WAGEGAP,EMPLOYEE,PC,A,2019,15.31165312,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2003,51.79603577,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2004,49.96606827,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2005,49.89718247,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2006,47.26454544,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2007,48.46804047,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2008,48.60409927,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2009,46.53011704,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2010,45.36217117,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2011,44.05809784,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2012,45.36979675,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2013,46.31814575,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2014,48.71694565,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2015,52.27589417,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2016,52.44672012,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2017,44.66094971,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2018,40.94014359,
AUT,WAGEGAP,SELFEMPLOYED,PC,A,2019,36.96437454,
AUT,WAGEGAP,EMPLOYEE,PC,A,2000,23.14194309,
AUT,WAGEGAP,EMPLOYEE,PC,A,2001,22.80181782,
AUT,WAGEGAP,EMPLOYEE,PC,A,2002,24.48922362,
AUT,WAGEGAP,EMPLOYEE,PC,A,2003,21.13692198,
AUT,WAGEGAP,EMPLOYEE,PC,A,2004,22.43079216,
AUT,WAGEGAP,EMPLOYEE,PC,A,2005,22.03208575,
AUT,WAGEGAP,EMPLOYEE,PC,A,2006,21.85513043,
AUT,WAGEGAP,EMPLOYEE,PC,A,2007,21.63427637,
AUT,WAGEGAP,EMPLOYEE,PC,A,2008,20.91732027,
AUT,WAGEGAP,EMPLOYEE,PC,A,2009,19.35596592,
AUT,WAGEGAP,EMPLOYEE,PC,A,2010,19.18886268,
AUT,WAGEGAP,EMPLOYEE,PC,A,2011,18.55055412,
AUT,WAGEGAP,EMPLOYEE,PC,A,2012,18.18505684,
AUT,WAGEGAP,EMPLOYEE,PC,A,2013,18.05321141,
AUT,WAGEGAP,EMPLOYEE,PC,A,2014,17.72888425,
AUT,WAGEGAP,EMPLOYEE,PC,A,2015,17.04325299,
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,15.67089964,
AUT,WAGEGAP,EMPLOYEE,PC,A,2017,15.38215397,
AUT,WAGEGAP,EMPLOYEE,PC,A,2018,14.87669089,
AUT,WAGEGAP,EMPLOYEE,PC,A,2019,14.01174081,
AUT,WAGEGAP,EMPLOYEE,PC,A,2020,12.38153967,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2003,42.56760025,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2004,44.5397644,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2005,46.87301254,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2006,45.03698731,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2007,41.820961,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2008,35.68281174,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2009,32.34273529,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2010,30.24333572,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2011,32.93947601,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2012,34.08844757,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2013,32.97843933,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2014,31.6250782,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2015,29.08433151,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2016,28.98452187,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2017,27.93323708,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2018,27.3945694,
BEL,WAGEGAP,SELFEMPLOYED,PC,A,2019,26.42213059,
BEL,WAGEGAP,EMPLOYEE,PC,A,1999,15.18298714,
BEL,WAGEGAP,EMPLOYEE,PC,A,2000,13.59923114,
BEL,WAGEGAP,EMPLOYEE,PC,A,2001,13.18681319,
BEL,WAGEGAP,EMPLOYEE,PC,A,2002,11.60471442,
BEL,WAGEGAP,EMPLOYEE,PC,A,2003,15.20518359,
BEL,WAGEGAP,EMPLOYEE,PC,A,2004,11.83206107,
BEL,WAGEGAP,EMPLOYEE,PC,A,2005,11.51109251,
BEL,WAGEGAP,EMPLOYEE,PC,A,2006,10.25326797,
BEL,WAGEGAP,EMPLOYEE,PC,A,2007,9.873617694,
BEL,WAGEGAP,EMPLOYEE,PC,A,2008,8.915753683,
BEL,WAGEGAP,EMPLOYEE,PC,A,2009,7.480461481,
BEL,WAGEGAP,EMPLOYEE,PC,A,2010,7.04379562,
BEL,WAGEGAP,EMPLOYEE,PC,A,2011,5.838108883,
BEL,WAGEGAP,EMPLOYEE,PC,A,2012,6.411149826,
BEL,WAGEGAP,EMPLOYEE,PC,A,2013,5.912863071,
BEL,WAGEGAP,EMPLOYEE,PC,A,2014,3.298900367,
BEL,WAGEGAP,EMPLOYEE,PC,A,2015,4.672,
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,3.701298701,
BEL,WAGEGAP,EMPLOYEE,PC,A,2017,4.190296156,
BEL,WAGEGAP,EMPLOYEE,PC,A,2018,3.408756979,
BEL,WAGEGAP,EMPLOYEE,PC,A,2019,3.798185941,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2006,42.69449997,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2007,43.91199875,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2008,44.25500107,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2009,43.76966476,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2010,45.02733231,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2011,43.95533371,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2012,44.08633423,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2013,40.93199921,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2014,39.04933548,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2015,36.81399918,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2016,33.53933334,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2017,33.54102325,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2018,31.75894928,
CAN,WAGEGAP,SELFEMPLOYED,PC,A,2019,32.22192383,
CAN,WAGEGAP,EMPLOYEE,PC,A,1997,24.70588235,
CAN,WAGEGAP,EMPLOYEE,PC,A,1998,24.85549133,
CAN,WAGEGAP,EMPLOYEE,PC,A,1999,24,
CAN,WAGEGAP,EMPLOYEE,PC,A,2000,23.875,
CAN,WAGEGAP,EMPLOYEE,PC,A,2001,24.32457913,
CAN,WAGEGAP,EMPLOYEE,PC,A,2002,24.0131579,
CAN,WAGEGAP,EMPLOYEE,PC,A,2003,22.50234034,
CAN,WAGEGAP,EMPLOYEE,PC,A,2004,22.71794872,
CAN,WAGEGAP,EMPLOYEE,PC,A,2005,21.25,
CAN,WAGEGAP,EMPLOYEE,PC,A,2006,21.12332112,
CAN,WAGEGAP,EMPLOYEE,PC,A,2007,20.80823529,
CAN,WAGEGAP,EMPLOYEE,PC,A,2008,20.45454546,
CAN,WAGEGAP,EMPLOYEE,PC,A,2009,20.13186813,
CAN,WAGEGAP,EMPLOYEE,PC,A,2010,18.97746967,
CAN,WAGEGAP,EMPLOYEE,PC,A,2011,19.17553192,
CAN,WAGEGAP,EMPLOYEE,PC,A,2012,19.51123128,
CAN,WAGEGAP,EMPLOYEE,PC,A,2013,19.30323498,
CAN,WAGEGAP,EMPLOYEE,PC,A,2014,19.229,
CAN,WAGEGAP,EMPLOYEE,PC,A,2015,18.62745098,
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,18.22115385,
CAN,WAGEGAP,EMPLOYEE,PC,A,2017,18.17322239,
CAN,WAGEGAP,EMPLOYEE,PC,A,2018,18.51851852,
CAN,WAGEGAP,EMPLOYEE,PC,A,2019,17.60714286,
CAN,WAGEGAP,EMPLOYEE,PC,A,2020,16.11253197,
CAN,WAGEGAP,EMPLOYEE,PC,A,2021,16.66666667,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2004,32.04641342,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2005,30.81534576,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2006,28.94941902,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2007,29.3561306,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2008,29.20800781,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2009,29.65451241,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2010,29.79795837,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2011,31.07322884,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2012,31.23534584,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2013,29.83840752,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2014,29.45221901,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2015,29.87954712,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2016,31.31771469,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2017,32.03011322,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2018,32.3183403,
CZE,WAGEGAP,SELFEMPLOYED,PC,A,2019,32.25138855,
CZE,WAGEGAP,EMPLOYEE,PC,A,1996,18.28985624,
CZE,WAGEGAP,EMPLOYEE,PC,A,1997,18.42904374,
CZE,WAGEGAP,EMPLOYEE,PC,A,1999,19.03031426,
CZE,WAGEGAP,EMPLOYEE,PC,A,2001,16.87662165,
CZE,WAGEGAP,EMPLOYEE,PC,A,2002,15.95069783,
CZE,WAGEGAP,EMPLOYEE,PC,A,2003,15.63749732,
CZE,WAGEGAP,EMPLOYEE,PC,A,2004,16.14681968,
