ref_area,indicator,source,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_TOTAL,2014,7.28,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_1,2014,-19.52,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_2,2014,15.54,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_3,2014,10.23,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_4,2014,9.36,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_5,2014,39.72,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_6,2014,-22.87,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_7,2014,56.01,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_8,2014,-134.03,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_9,2014,-48.01,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BB:6361,OCU_ISCO08_X,2014,25.07,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_TOTAL,2020,-125.61,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_1,2020,-124.6,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_2,2020,-35.25,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_3,2020,-32.45,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_4,2020,-47.2,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_5,2020,-61.34,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_6,2020,3.4,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_7,2020,-27.78,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_8,2020,-61.76,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_9,2020,-21.97,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_0,2020,-57.55,,,T30:110,R1:3513
AFG,EAR_GGAP_OCU_RT,BA:15715,OCU_ISCO08_X,2020,-18.48,,,T30:110,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_TOTAL,2002,23.5,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_1,2002,37.11,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_2,2002,-1.09,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_3,2002,43.29,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_4,2002,-7.78,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_5,2002,30.48,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_6,2002,42.13,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_7,2002,44.7,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_8,2002,43.96,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO88_9,2002,29.95,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_TOTAL,2012,16.8,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_1,2012,27.49,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_2,2012,14.87,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_3,2012,35.13,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_4,2012,27.15,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_5,2012,8.18,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_6,2012,27.71,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_7,2012,46.75,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_8,2012,53.56,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_9,2012,42.87,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_0,2012,23.36,,,T30:159,R1:3513
ALB,EAR_GGAP_OCU_RT,BB:7401,OCU_ISCO08_X,2012,,U,,T30:159,R1:3513
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_TOTAL,2004,4.82,B,,T30:61_I11:264,R1:3513_S4:33
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_1,2004,41.09,B,,T30:61_I11:264,R1:3513_S4:33
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_2,2004,20.97,B,,T30:61_I11:264,R1:3513_S4:33
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_3,2004,10.25,B,,T30:61_I11:264,R1:3513_S4:33
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_4,2004,4.8,B,,T30:61_I11:264,R1:3513_S4:33
ARG,EAR_GGAP_OCU_RT,BA:150,OCU_ISCO08_5,2004,11.25,B,,T30:61_I11:264,R1:3513_S4:33
