Base Dataset,SERIES Code,SERIES Description,REF_AREA Code,REF_AREA Description,TIME_PERIOD,TIME_DETAIL,OBS_VALUE,UNIT_MEASURE Code,UNIT_MEASURE Description,Sex code,Sex,Nature code,Reporting Type code,Reporting Type,Type of Occupation code,Type of Occupation,SOURCE_DETAIL,COMMENT_OBS
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2012","2012","13","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2013","2013","13","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2013","2013","16","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2013","2013","15","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2014","2014","15","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2014","2014","16","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2014","2014","14","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2015","2015","15","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2015","2015","14","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2015","2015","16","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2016","2016","16","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2016","2016","15","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2016","2016","14","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2017","2017","15","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2017","2017","16","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2017","2017","14","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
