Economy,Economy Code,ISO Code,Region,Income Group,Report Year,WBL INDEX,MOBILITY,Can a woman choose where to live in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can a woman work at night in the same way as a man?,Can a woman work in a job deemed dangerous in the same way as a man?,Can a woman work in an industrial job in the same way as a man?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,Can a woman be head of household in the same way as a man?,Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Length of paid paternity leave,Is there paid parental leave?,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Does the law prohibit discrimination in access to credit based on gender?,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do male and female surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Is the age at which men and women can retire with full pension benefits the same?,Is the age at which men and women can retire with partial pension benefits the same?,Is the mandatory retirement age for men and women the same?,Are periods of absence due to childcare accounted for in pension benefits?
Afghanistan,AFG,AFG,South Asia,Low income,1971,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1972,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1973,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1974,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1975,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1976,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1977,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1978,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1979,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1980,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
